word,definition
vole,any of various small mouselike rodents of the family Cricetidae (especially of genus Microtus) having a stout short-tailed body and inconspicuous ears and inhabiting fields or meadows
volt,a unit of potential equal to the potential difference between two points on a conductor carrying a current of 1 ampere when the power dissipated between the two points is 1 watt; equivalent to the potential difference across a resistance of 1 ohm when 1 ampere of current flows through it
vote,a choice that is made by counting the number of people in favor of each alternative
waco,a city in east central Texas
wade,English tennis player who won many women's singles titles (born in 1945)
wadi,gully or streambed in northern Africa and the Middle East that remains dry except during rainy season
waft,a long flag; often tapering
wage,something that remunerates
waif,a homeless child especially one forsaken or orphaned
wail,a cry of sorrow and grief
wain,English writer (1925-1994)
wait,time during which some action is awaited
wake,the consequences of an event (especially a catastrophic event)
wale,a raised mark on the skin (as produced by the blow of a whip); characteristic of many allergic reactions
walk,the act of traveling by foot
wall,an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure
wand,a rod used by a magician or water diviner
wane,a gradual decline (in size or strength or power or number)
want,a state of extreme poverty
ward,a person who is under the protection or in the custody of another
ware,"articles of the same kind or material; usually used in combination: `silverware', `software'"
warm,get warm or warmer
warn,"notify of danger, potential harm, or risk"
warp,a twist or aberration; especially a perverse or abnormal way of judging or acting
wart,any small rounded protuberance (as on certain plants or animals)
wary,marked by keen caution and watchful prudence
wash,a thin coat of water-base paint
wasn,
wasp,a white person of Anglo-Saxon ancestry who belongs to a Protestant denomination
watt,a unit of power equal to 1 joule per second; the power dissipated by a current of 1 ampere flowing across a resistance of 1 ohm
waul,"make high-pitched, whiney noises"
wave,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water)
wavy,(of hair) having waves
waxy,made of or covered with wax
ways,structure consisting of a sloping way down to the water from the place where ships are built or repaired
weak,wanting in physical strength
weal,a raised mark on the skin (as produced by the blow of a whip); characteristic of many allergic reactions
wean,gradually deprive (infants and young mammals) of mother's milk
wear,impairment resulting from long use
weed,any plant that crowds out cultivated plants
week,any period of seven consecutive days
weep,"shed tears because of sadness, rage, or pain"
weft,the yarn woven across the warp yarn in weaving
weir,a low dam built across a stream to raise its level or divert its flow
weka,flightless New Zealand rail of thievish disposition having short wings each with a spur used in fighting
weld,European mignonette cultivated as a source of yellow dye; naturalized in North America
well,a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
welt,a raised mark on the skin (as produced by the blow of a whip); characteristic of many allergic reactions
wend,direct one's course or way
went,"change location; move, travel, or proceed, also metaphorically"
wept,"shed tears because of sadness, rage, or pain"
were,"have the quality of being; (copula, used with an adjective or a predicate noun)"
west,the countries of (originally) Europe and (now including) North America and South America
wham,hit hard
whap,hit hard
what,
when,
whet,make keen or more acute
whey,the serum or watery part of milk that is separated from the curd in making cheese
whig,a member of the political party that urged social reform in 18th and 19th century England; was the opposition party to the Tories
whim,a sudden desire
whin,very spiny and dense evergreen shrub with fragrant golden-yellow flowers; common throughout western Europe
whip,an instrument with a handle and a flexible lash that is used for whipping
whir,sound of something in rapid motion
whit,a tiny or scarcely detectable amount
whiz,someone who is dazzlingly skilled in any field
whom,
whop,hit hard
wick,any piece of cord that conveys liquid by capillary action
wide,having great (or a certain) extent from one side to the other
wife,a married woman; a man's partner in marriage
wild,a wild primitive state untouched by civilization
wile,the use of tricks to deceive someone (usually to extract money from them)
will,the capability of conscious choice and decision and intention; - George Meredith
wilt,any plant disease characterized by drooping and shriveling; usually caused by parasites attacking the roots
wily,marked by skill in deception
wind,air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
wine,fermented juice (of grapes especially)
wing,a movable organ for flying (one of a pair)
wink,a very short time (as the time it takes the eye to blink or the heart to beat)
winy,having the taste of wine
wipe,the act of rubbing or wiping
wire,ligament made of metal and used to fasten things or make cages or fences etc
wiry,lean and sinewy
wise,a way of doing or being
wish,a specific feeling of desire
wisp,a small tuft or lock
with,
wive,take (someone) as a wife
woad,a blue dyestuff obtained from the woad plant
woke,"be awake, be alert, be there"
wold,a tract of open rolling country (especially upland)
wolf,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs
womb,a hollow muscular organ in the pelvic cavity of females; contains the developing fetus
wont,an established custom
wood,the hard fibrous lignified substance under the bark of trees
woof,the yarn woven across the warp yarn in weaving
wool,a fabric made from the hair of sheep
wops,(ethnic slur) offensive term for a person of Italian descent
word,a unit of language that native speakers can identify
wore,be dressed in
work,activity directed toward making or doing something
worm,any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae
worn,be dressed in
wort,usually used in combination: `liverwort'; `milkwort'; `whorlywort'
wove,interlace by or as if by weaving
wrap,cloak that is folded or wrapped around a person
wren,English architect who designed more than fifty London churches (1632-1723)
writ,(law) a legal document issued by a court or judicial officer
wuss,a person who is physically weak and ineffectual
xmas,"a Christian holiday celebrating the birth of Christ; a quarter day in England, Wales, and Ireland"
yagi,a sharply directional antenna
yale,a university in Connecticut
yana,a member of an extinct North American Indian people who lived in northern California
yang,the bright positive masculine principle in Chinese dualistic cosmology
yank,an American who lives in the North (especially during the American Civil War)
yard,a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
yarn,the act of giving an account describing incidents or a course of events
yawl,a ship's small boat (usually rowed by 4 or 6 oars)
yawn,an involuntary intake of breath through a wide open mouth; usually triggered by fatigue or boredom
yawp,make a raucous noise
yaws,an infectious tropical disease resembling syphilis in its early stages; marked by red skin eruptions and ulcerating lesions
yeah,"not only so, but"
year,a period of time containing 365 (or 366) days
yell,a loud utterance; often in protest or opposition
yelp,a sharp high-pitched cry (especially by a dog)
yodh,the 10th letter of the Hebrew alphabet
yoga,Hindu discipline aimed at training the consciousness for a state of perfect spiritual insight and tranquility that is achieved through the three paths of actions and knowledge and devotion
yogi,United States baseball player (born 1925)
yoke,fabric comprising a fitted part at the top of a garment
yolk,the yellow spherical part of an egg that is surrounded by the albumen
yore,time long past
york,the English royal house (a branch of the Plantagenet line) that reigned from 1461 to 1485; its emblem was a white rose
your,
yowl,a very loud utterance (like the sound of an animal)
yuan,the basic unit of money in China
yule,period extending from Dec. 24 to Jan. 6
yuma,a member of the North American Indian people of Arizona and adjacent Mexico and California
yurt,a circular domed dwelling that is portable and self-supporting; originally used by nomadic Mongol and Turkic people of central Asia but now used as inexpensive alternative or temporary housing
zany,a buffoon in one of the old comedies; imitates others for ludicrous effect
zarf,an ornamental metal cup-shaped holder for a hot coffee cup
zeal,a feeling of strong eagerness (usually in favor of a person or cause)
zebu,domesticated ox having a humped back and long horns and a large dewlap; used chiefly as a draft animal in India and east Asia
zend,an ancient Iranian language
zero,a quantity of no importance
zest,vigorous and enthusiastic enjoyment
zeta,the 6th letter of the Greek alphabet
zeus,(Greek mythology) the supreme god of ancient Greek mythology; son of Rhea and Cronus whom he dethroned; husband and brother of Hera; brother of Poseidon and Hades; father of many gods; counterpart of Roman Jupiter
zinc,a bluish-white lustrous metallic element; brittle at ordinary temperatures but malleable when heated; used in a wide variety of alloys and in galvanizing iron; it occurs naturally as zinc sulphide in zinc blende
zing,a brief high-pitched buzzing or humming sound
zion,originally a stronghold captured by David (the 2nd king of the Israelites); above it was built a temple and later the name extended to the whole hill; finally it became a synonym for the city of Jerusalem
zips,a quantity of no importance
zizz,a buzzing or whizzing sound
zoic,pertaining to animals or animal life or action
zone,a locally circumscribed place characterized by some distinctive features
zoom,a rapid rise
zulu,a member of the tall Negroid people of eastern South Africa; some live in KwaZulu-Natal under the traditional clan system but many now work in the cities
zuni,a member of the Pueblo people living in western New Mexico
